source,date,account_number,fund,fund_ticker,bbg_ticker,nav,total_net_assets,total_assets,income_earned,expenses,net_invest_income,securities_at_value,cash,accrued_income,accrued_expenses,shares_outstanding
umb,2026-05-13,,P2726,P2726,P2726,23.49,32183065.82,32959800.92,,2323.37,,,,,,1370262.6
umb,2026-05-14,,P2726,P2726,P2726,23.67,32435056.9,33214128.58,,2336.58,,,,,,1370262.6
