source,date,fund,fund_ticker,bbg_ticker,eqyticker,sedol,shares_cust,quantity,category_description,asset_group,price,market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME
umb,2026-05-13,P2726,P2726,P2726,GOOG,,2383.0,2383.0,COMMON,,399.04,950912.32,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,GOOGL,,2983.0,2983.0,COMMON,,402.62,1201015.46,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,GS,,229.0,229.0,COMMON,,955.42,218791.18,Financials,Capital Markets,Financial Services
umb,2026-05-13,P2726,P2726,P2726,HD,,585.0,585.0,COMMON,,302.55,176991.75,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-13,P2726,P2726,P2726,HON,,704.0,704.0,COMMON,,217.96,153443.84,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,IBM,,753.0,753.0,COMMON,,214.64,161623.92,Information Technology,IT Services,Software & Services
umb,2026-05-13,P2726,P2726,P2726,INTC,,2675.0,2675.0,COMMON,,120.29,321775.75,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,INTU,,225.0,225.0,COMMON,,371.71,83634.75,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,ISRG,,387.0,387.0,COMMON,,432.27,167288.49,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-13,P2726,P2726,P2726,JNJ,,1450.0,1450.0,COMMON,,230.42,334109.0,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,JPM,,1640.0,1640.0,COMMON,,300.25,492410.0,Financials,Banks,Banks
umb,2026-05-13,P2726,P2726,P2726,KO,,2700.0,2700.0,COMMON,,80.26,216702.0,Consumer Staples,Beverages,"Food, Beverage & Tobacco"
umb,2026-05-13,P2726,P2726,P2726,LIN,,1358.0,1358.0,COMMON,,513.26,697007.08,Materials,Chemicals,Materials
umb,2026-05-13,P2726,P2726,P2726,LLY,,478.0,478.0,COMMON,,1015.75,485528.5,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,LMT,,226.0,226.0,COMMON,,519.94,117506.44,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,LOW,,330.0,330.0,COMMON,,220.45,72748.5,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail
umb,2026-05-13,P2726,P2726,P2726,LRCX,,749.0,749.0,COMMON,,295.44,221284.56,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,MA,,626.0,626.0,COMMON,,490.64,307140.64,Financials,Financial Services,Financial Services
umb,2026-05-13,P2726,P2726,P2726,MCD,,785.0,785.0,COMMON,,275.7,216424.5,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
umb,2026-05-13,P2726,P2726,P2726,MDLZ,,899.0,899.0,COMMON,,61.52,55306.48,Consumer Staples,Food Products,"Food, Beverage & Tobacco"
umb,2026-05-13,P2726,P2726,P2726,MDT,,1398.0,1398.0,COMMON,,76.21,106541.58,Health Care,Health Care Equipment & Supplies,Health Care Equipment & Services
umb,2026-05-13,P2726,P2726,P2726,META,,1292.0,1292.0,COMMON,,616.63,796685.96,Communication Services,Interactive Media & Services,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,MMM,,588.0,588.0,COMMON,,147.1,86494.8,Industrials,Industrial Conglomerates,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,MO,,1171.0,1171.0,COMMON,,71.54,83773.34,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
umb,2026-05-13,P2726,P2726,P2726,MRK,,1494.0,1494.0,COMMON,,113.45,169494.3,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,MS,,923.0,923.0,COMMON,,193.83,178905.09,Financials,Capital Markets,Financial Services
umb,2026-05-13,P2726,P2726,P2726,MSFT,,3810.0,3810.0,COMMON,,405.21,1543850.1,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,MU,,670.0,670.0,COMMON,,803.63,538432.1,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,NEE,,3997.0,3997.0,COMMON,,94.85,379115.45,Utilities,Electric Utilities,Utilities
umb,2026-05-13,P2726,P2726,P2726,NFLX,,2513.0,2513.0,COMMON,,87.56,220038.28,Communication Services,Entertainment,Media & Entertainment
umb,2026-05-13,P2726,P2726,P2726,NKE,,2433.0,2433.0,COMMON,,42.34,103013.22,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel
umb,2026-05-13,P2726,P2726,P2726,NOW,,835.0,835.0,COMMON,,87.05,72686.75,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,NVDA,,12455.0,12455.0,COMMON,,225.83,2812712.65,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,ORCL,,1355.0,1355.0,COMMON,,189.76,257124.8,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,PEP,,954.0,954.0,COMMON,,149.27,142403.58,Consumer Staples,Beverages,"Food, Beverage & Tobacco"
umb,2026-05-13,P2726,P2726,P2726,PFE,,3421.0,3421.0,COMMON,,25.96,88809.16,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
umb,2026-05-13,P2726,P2726,P2726,PG,,1592.0,1592.0,COMMON,,142.24,226446.08,Consumer Staples,Household Products,Household & Personal Products
umb,2026-05-13,P2726,P2726,P2726,PLTR,,1840.0,1840.0,COMMON,,130.05,239292.0,Information Technology,Software,Software & Services
umb,2026-05-13,P2726,P2726,P2726,PM,,1085.0,1085.0,COMMON,,187.91,203882.35,Consumer Staples,Tobacco,"Food, Beverage & Tobacco"
umb,2026-05-13,P2726,P2726,P2726,PYPL,,715.0,715.0,COMMON,,45.23,32339.45,Financials,Financial Services,Financial Services
umb,2026-05-13,P2726,P2726,P2726,QCOM,,639.0,639.0,COMMON,,213.17,136215.63,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment
umb,2026-05-13,P2726,P2726,P2726,RTX,,1486.0,1486.0,COMMON,,178.11,264671.46,Industrials,Aerospace & Defense,Capital Goods
umb,2026-05-13,P2726,P2726,P2726,SBUX,,1254.0,1254.0,COMMON,,105.95,132861.3,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services
