fund,fund_ticker,bbg_ticker,date,eqyticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,CB,1738.0,1738.0,320.44,316.01,0.0,4.43,Match
P2726,P2726,P2726,2026-05-13,CB,1738.0,1738.0,320.44,316.01,0.0,4.43,Match
P2726,P2726,P2726,2026-05-13,CB,1738.0,1738.0,316.01,316.01,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,CL,549.0,549.0,86.46,87.87,0.0,-1.41,Match
P2726,P2726,P2726,2026-05-13,CL,549.0,549.0,86.46,87.87,0.0,-1.41,Match
P2726,P2726,P2726,2026-05-13,CL,549.0,549.0,87.87,87.87,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,CMCSA,2155.0,2155.0,24.57,24.94,0.0,-0.37,Match
P2726,P2726,P2726,2026-05-13,CMCSA,2155.0,2155.0,24.57,24.94,0.0,-0.37,Match
P2726,P2726,P2726,2026-05-13,CMCSA,2155.0,2155.0,24.94,24.94,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,COP,1172.0,1172.0,117.4,117.4,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,COP,1172.0,1172.0,116.85,117.4,0.0,-0.55,Match
P2726,P2726,P2726,2026-05-13,COP,1172.0,1172.0,116.85,117.4,0.0,-0.55,Match
P2726,P2726,P2726,2026-05-13,COST,271.0,271.0,1033.08,1033.08,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,COST,271.0,271.0,1024.75,1033.08,0.0,-8.33,Match
P2726,P2726,P2726,2026-05-13,COST,271.0,271.0,1024.75,1033.08,0.0,-8.33,Match
P2726,P2726,P2726,2026-05-13,CRM,767.0,767.0,168.01,165.84,0.0,2.17,Match
P2726,P2726,P2726,2026-05-13,CRM,767.0,767.0,168.01,165.84,0.0,2.17,Match
P2726,P2726,P2726,2026-05-13,CRM,767.0,767.0,165.84,165.84,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,CSCO,8207.0,8207.0,99.68,101.87,0.0,-2.19,Match
P2726,P2726,P2726,2026-05-13,CSCO,8207.0,8207.0,99.68,101.87,0.0,-2.19,Match
P2726,P2726,P2726,2026-05-13,CSCO,8207.0,8207.0,101.87,101.87,0.0,0.0,Match
