source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-14,P2726,P2726,P2726,SPGI US 05/15/26 C420,-1.0,-1.0,OPTC_EQY,,0.85,-85.0,5TW9938C9,
umb,2026-05-14,P2726,P2726,P2726,SPX US 07/31/26 C5000,-4.0,-4.0,OPTC_IEQ,,2539.77,-1015907.44,SC31761B,
umb,2026-05-14,P2726,P2726,P2726,SPX US 07/31/26 C6000,4.0,4.0,OPTC_IEQ,,1560.97,624387.96,SC31763B,
umb,2026-05-14,P2726,P2726,P2726,SPX US 07/31/26 P5000,4.0,4.0,OPTP_IEQ,,7.94,3175.72,SP31762B,
umb,2026-05-14,P2726,P2726,P2726,SPX US 07/31/26 P5346.5,62.0,62.0,OPTP_IEQ,,10.71,66406.96,SP31765B,
umb,2026-05-14,P2726,P2726,P2726,SPX US 07/31/26 P6000,-4.0,-4.0,OPTP_IEQ,,20.36,-8142.8,SP31764B,
umb,2026-05-14,P2726,P2726,P2726,T US 05/15/26 C25,-10.0,-10.0,OPTC_EQY,,0.04,-35.0,6769929U6,
umb,2026-05-14,P2726,P2726,P2726,TJX US 05/15/26 C155,-1.0,-1.0,OPTC_EQY,,0.55,-55.0,6NU99I350,
umb,2026-05-14,P2726,P2726,P2726,TSLA US 05/15/26 C425,-3.0,-3.0,OPTC_EQY,,18.92,-5677.5,6IX99R7W5,
umb,2026-05-14,P2726,P2726,P2726,TXN US 05/15/26 C290,-1.0,-1.0,OPTC_EQY,,18.62,-1862.5,59199BOP2,
umb,2026-05-14,P2726,P2726,P2726,UBER US 05/15/26 C75,-4.0,-4.0,OPTC_EQY,,0.55,-220.0,5AI99KAJ0,
umb,2026-05-14,P2726,P2726,P2726,UNH US 05/15/26 C377.5,-2.0,-2.0,OPTC_EQY,,22.48,-4495.0,6IC99IVW1,
umb,2026-05-14,P2726,P2726,P2726,UNP US 05/15/26 C265,-1.0,-1.0,OPTC_EQY,,4.25,-425.0,5IE994KD5,
umb,2026-05-14,P2726,P2726,P2726,UPS US 05/15/26 C100,-1.0,-1.0,OPTC_EQY,,0.18,-17.5,513997WY8,
umb,2026-05-14,P2726,P2726,P2726,USB US 05/15/26 C55,-2.0,-2.0,OPTC_EQY,,0.02,-5.0,5IV994YQ2,
umb,2026-05-14,P2726,P2726,P2726,V US 05/15/26 C320,-3.0,-3.0,OPTC_EQY,,3.24,-973.5,5IJ9905O1,
umb,2026-05-14,P2726,P2726,P2726,VZ US 05/15/26 C47,-6.0,-6.0,OPTC_EQY,,0.33,-198.0,6FI9924E6,
umb,2026-05-14,P2726,P2726,P2726,WFC US 05/15/26 C76,-4.0,-4.0,OPTC_EQY,,0.04,-18.0,6Z29992L0,
umb,2026-05-14,P2726,P2726,P2726,WM US 05/15/26 C220,-3.0,-3.0,OPTC_EQY,,0.52,-157.5,48I99SJA9,
umb,2026-05-14,P2726,P2726,P2726,WMT US 05/15/26 C131,-6.0,-6.0,OPTC_EQY,,1.74,-1047.0,7059900V2,
umb,2026-05-14,P2726,P2726,P2726,XOM US 05/15/26 C144,-9.0,-9.0,OPTC_EQY,,8.95,-8055.0,6I599PNO0,
umb,2026-05-14,P2726,P2726,P2726,XSP US 07/31/26 P534.66,19.0,19.0,OPTP_IEQ,,1.06,2023.31,XP31765B,
