source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-13,P2726,P2726,P2726,GILD US 05/15/26 C131,-2.0,-2.0,OPTC_EQY,,2.98,-596.0,69Z99IPW3,
umb,2026-05-13,P2726,P2726,P2726,GOOG US 05/15/26 C395,-5.0,-5.0,OPTC_EQY,,6.5,-3250.0,653997H82,
umb,2026-05-13,P2726,P2726,P2726,GOOGL US 05/15/26 C400,-6.0,-6.0,OPTC_EQY,,5.62,-3375.0,5IT99MVO3,
umb,2026-05-13,P2726,P2726,P2726,HD US 05/15/26 C317.5,-1.0,-1.0,OPTC_EQY,,0.28,-28.5,6W2997DA3,
umb,2026-05-13,P2726,P2726,P2726,HON US 05/15/26 C212.5,-2.0,-2.0,OPTC_EQY,,5.6,-1120.0,6NA99IAL9,
umb,2026-05-13,P2726,P2726,P2726,IBM US 05/15/26 C230,-2.0,-2.0,OPTC_EQY,,0.14,-29.0,56G992RN4,
umb,2026-05-13,P2726,P2726,P2726,INTC US 05/15/26 C125,-6.0,-6.0,OPTC_EQY,,1.82,-1092.0,6I3991RQ6,
umb,2026-05-13,P2726,P2726,P2726,ISRG US 05/15/26 C450,-1.0,-1.0,OPTC_EQY,,0.45,-45.0,682991TW4,
umb,2026-05-13,P2726,P2726,P2726,JNJ US 05/15/26 C222.5,-3.0,-3.0,OPTC_EQY,,8.28,-2482.5,69X999OE6,
umb,2026-05-13,P2726,P2726,P2726,JPM US 05/15/26 C302.5,-4.0,-4.0,OPTC_EQY,,1.74,-698.0,6CM99WV10,
umb,2026-05-13,P2726,P2726,P2726,KO US 05/15/26 C78,-6.0,-6.0,OPTC_EQY,,2.56,-1536.0,6FX99IG76,
umb,2026-05-13,P2726,P2726,P2726,LIN US 05/15/26 C495,-3.0,-3.0,OPTC_EQY,,18.4,-5520.0,5SD999EV0,
umb,2026-05-13,P2726,P2726,P2726,LLY US 05/15/26 C950,-1.0,-1.0,OPTC_EQY,,66.05,-6605.0,6AI99KNB2,
umb,2026-05-13,P2726,P2726,P2726,LOW US 05/15/26 C230,-1.0,-1.0,OPTC_EQY,,0.38,-37.5,6R799I2A7,
umb,2026-05-13,P2726,P2726,P2726,LRCX US 05/15/26 C295,-2.0,-2.0,OPTC_EQY,,7.85,-1570.0,6SI994EN3,
umb,2026-05-13,P2726,P2726,P2726,MA US 05/15/26 C497.5,-1.0,-1.0,OPTC_EQY,,2.55,-255.0,6QI990NE5,
umb,2026-05-13,P2726,P2726,P2726,MCD US 05/15/26 C275,-2.0,-2.0,OPTC_EQY,,2.3,-460.0,5IY99I2Q3,
umb,2026-05-13,P2726,P2726,P2726,MDLZ US 05/15/26 C62,-2.0,-2.0,OPTC_EQY,,0.55,-110.0,6L899I870,
umb,2026-05-13,P2726,P2726,P2726,MDT US 05/15/26 C76,-3.0,-3.0,OPTC_EQY,,0.78,-235.5,6XT99I384,
umb,2026-05-13,P2726,P2726,P2726,META US 05/15/26 C610,-3.0,-3.0,OPTC_EQY,,10.4,-3120.0,59399TQZ7,
umb,2026-05-13,P2726,P2726,P2726,MMM US 05/15/26 C143,-1.0,-1.0,OPTC_EQY,,5.12,-512.5,66L99IVE7,
umb,2026-05-13,P2726,P2726,P2726,MO US 05/15/26 C68,-3.0,-3.0,OPTC_EQY,,3.6,-1080.0,5XG99IUX4,
umb,2026-05-13,P2726,P2726,P2726,MRK US 05/15/26 C111,-3.0,-3.0,OPTC_EQY,,3.09,-927.0,66M990XW3,
umb,2026-05-13,P2726,P2726,P2726,MS US 05/15/26 C192.5,-2.0,-2.0,OPTC_EQY,,3.03,-606.0,7019942Z7,
umb,2026-05-13,P2726,P2726,P2726,MSFT US 05/15/26 C415,-8.0,-8.0,OPTC_EQY,,0.91,-728.0,6IV992A73,
umb,2026-05-13,P2726,P2726,P2726,MU US 05/15/26 C740,-1.0,-1.0,OPTC_EQY,,69.1,-6910.0,6BI991QV5,
umb,2026-05-13,P2726,P2726,P2726,NEE US 05/15/26 C93,-9.0,-9.0,OPTC_EQY,,2.15,-1939.5,6R099I602,
umb,2026-05-13,P2726,P2726,P2726,NFLX US 05/15/26 C88,-5.0,-5.0,OPTC_EQY,,0.78,-387.5,5IB99M0N8,
umb,2026-05-13,P2726,P2726,P2726,NKE US 05/15/26 C44,-5.0,-5.0,OPTC_EQY,,0.1,-47.5,6SI99K8H7,
umb,2026-05-13,P2726,P2726,P2726,NOW US 05/15/26 C91,-2.0,-2.0,OPTC_EQY,,0.45,-90.0,6SM99IBW0,
umb,2026-05-13,P2726,P2726,P2726,NVDA US 05/15/26 C215,-27.0,-27.0,OPTC_EQY,,11.5,-31050.0,6PI99NJ69,
umb,2026-05-13,P2726,P2726,P2726,ORCL US 05/15/26 C195,-3.0,-3.0,OPTC_EQY,,1.86,-556.5,5IL99M254,
umb,2026-05-13,P2726,P2726,P2726,PEP US 05/15/26 C155,-2.0,-2.0,OPTC_EQY,,0.14,-27.0,6I799T403,
