fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-13,eod,PYPL US 05/15/26 C45.5,2026-05-15,,PYPL  260515C00045500,PYPL,45.23,0.431755,45.5,-2,,,0.43,-9046.0,-86.0,-3905.65573,-37.13093,Financials,Financial Services,Financial Services,,Common Stock
P2726,P2726,2026-05-13,eod,QCOM US 05/15/26 C220,2026-05-15,,QCOM  260515C00220000,QCOM,213.205,0.359365,220.0,-1,,,3.96,-21320.5,-396.0,-7661.8414825,-142.30854,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock
P2726,P2726,2026-05-13,eod,RTX US 05/15/26 C177.5,2026-05-15,,RTX   260515C00177500,RTX,178.11,0.579013,177.5,-3,,,2.28,-53433.0,-684.0,-30938.401629,-396.044892,Industrials,Aerospace & Defense,Capital Goods,,Common Stock
P2726,P2726,2026-05-13,eod,SBUX US 05/15/26 C105,2026-05-15,,SBUX  260515C00105000,SBUX,105.95,0.641427,105.0,-3,,,1.4,-31785.0,-420.0,-20387.757195,-269.39934,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,,Common Stock
P2726,P2726,2026-05-13,eod,SCHW US 05/15/26 C89,2026-05-15,,SCHW  260515C00089000,SCHW,91.17,0.715061,89.0,-3,,,3.16,-27351.0,-948.0,-19557.633411,-677.877828,Financials,Capital Markets,Financial Services,,Common Stock
P2726,P2726,2026-05-13,eod,SO US 05/15/26 C92,2026-05-15,,SO    260515C00092000,SO,93.14,0.732028,92.0,-5,,,1.47,-46570.0,-735.0,-34090.54396,-538.04058,Utilities,Electric Utilities,Utilities,,Common Stock
P2726,P2726,2026-05-13,eod,SPGI US 05/15/26 C420,2026-05-15,,SPGI  260515C00420000,SPGI,406.55,0.149767,420.0,-1,,,1.2,-40655.0,-120.0,-6088.777385,-17.97204,Financials,Capital Markets,Financial Services,,Common Stock
P2726,P2726,2026-05-13,eod,T US 05/15/26 C25,2026-05-15,,T     260515C00025000,T,24.74,0.327256,25.0,-10,,,0.12,-24740.0,-120.0,-8096.31344,-39.27072,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock
P2726,P2726,2026-05-13,eod,TJX US 05/15/26 C155,2026-05-15,,TJX   260515C00155000,TJX,147.03,0.056986,155.0,-1,,,0.13,-14703.0,-13.0,-837.865158,-0.740818,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail,,Common Stock
P2726,P2726,2026-05-13,eod,TSLA US 05/15/26 C425,2026-05-15,,TSLA  260515C00425000,TSLA,445.185,0.861883,425.0,-3,,,21.74,-133555.5,-6522.0,-115109.2150065,-5621.200926,Consumer Discretionary,Automobiles,Automobiles & Components,,Common Stock
P2726,P2726,2026-05-13,eod,TXN US 05/15/26 C290,2026-05-15,,TXN   260515C00290000,TXN,306.34,0.891949,290.0,-1,,,17.09,-30634.0,-1709.0,-27323.965666,-1524.340841,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock
P2726,P2726,2026-05-13,eod,UBER US 05/15/26 C75,2026-05-15,,UBER  260515C00075000,UBER,74.7,0.4688,75.0,-4,,,0.9,-29880.0,-360.0,-14007.744,-168.768,Industrials,Ground Transportation,Transportation,,Common Stock
P2726,P2726,2026-05-13,eod,UNH US 05/15/26 C377.5,2026-05-15,,UNH   260515C00377500,UNH,401.16,0.953064,377.5,-2,,,24.6,-80232.0,-4920.0,-76466.230848,-4689.07488,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock
P2726,P2726,2026-05-13,eod,UNP US 05/15/26 C265,2026-05-15,,UNP   260515C00265000,UNP,264.65,0.483756,265.0,-1,,,2.34,-26465.0,-234.0,-12802.60254,-113.198904,Industrials,Ground Transportation,Transportation,,Common Stock
P2726,P2726,2026-05-13,eod,UPS US 05/15/26 C100,2026-05-15,,UPS   260515C00100000,UPS,98.45,0.273892,100.0,-1,,,0.37,-9845.0,-37.0,-2696.46674,-10.134004,Industrials,Air Freight & Logistics,Transportation,,Common Stock
P2726,P2726,2026-05-13,eod,USB US 05/15/26 C55,2026-05-15,,USB   260515C00055000,USB,52.74,0.069723,55.0,-2,,,0.05,-10548.0,-10.0,-735.438204,-0.69723,Financials,Banks,Banks,,Common Stock
P2726,P2726,2026-05-13,eod,V US 05/15/26 C320,2026-05-15,,V     260515C00320000,V,320.31,0.525063,320.0,-3,,,3.8,-96093.0,-1140.0,-50454.878859,-598.57182,Financials,Financial Services,Financial Services,,Common Stock
P2726,P2726,2026-05-13,eod,VZ US 05/15/26 C47,2026-05-15,,VZ    260515C00047000,VZ,47.21,0.569123,47.0,-6,,,0.65,-28326.0,-390.0,-16120.978098,-221.95797,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock
